version,cohort,model,threshold,n_images,n_failures,prevalence,auroc,ci_low,ci_high
16,random,yolov9e-coco-torch,0.25,1000,49,0.049,0.5683169166720315,0.4922045594202253,0.6469646991656504
16,random,detection-transformer-torch,0.5,1000,711,0.711,0.6802957966507527,0.6433445222168416,0.7107720716251235
16,random,dfine-large-coco-torch,0.5,1000,307,0.307,0.6012145653839465,0.5665962415783984,0.6345160799319471
16,random,dfine-medium-coco-torch,0.5,1000,303,0.303,0.6087380617545255,0.5747126424485335,0.6420950687179295
16,random,dfine-nano-coco-torch,0.5,1000,481,0.481,0.6529288292294073,0.6214395980497462,0.6838893787390957
16,random,dfine-small-coco-torch,0.5,1000,392,0.392,0.6320509700590763,0.5999524790758857,0.6637749978247984
16,random,dfine-xlarge-coco-torch,0.5,1000,270,0.27,0.588675799086758,0.5505556774914505,0.6238593356863583
16,random,faster-rcnn-resnet50-fpn-coco-torch,0.5,1000,667,0.667,0.5838387112749931,0.5481737360132396,0.6180428519565758
16,random,retinanet-resnet50-fpn-coco-torch,0.5,1000,511,0.511,0.646426870605373,0.6128372500877042,0.67678746598904
16,random,rfdetr-base-coco-torch,0.5,1000,380,0.38,0.6186587436332768,0.5882782137726569,0.6505639888741489
16,random,rfdetr-large-coco-torch,0.5,1000,361,0.361,0.6175009428686616,0.5851940073154055,0.6517653919071682
16,random,rfdetr-medium-coco-torch,0.5,1000,370,0.37,0.6348048048048048,0.6035201122586663,0.6686691509564886
16,random,rfdetr-nano-coco-torch,0.5,1000,439,0.439,0.6501711473572656,0.6167103542964708,0.6812302494119233
16,random,rfdetr-small-coco-torch,0.5,1000,370,0.37,0.6364693264693265,0.6010867151711633,0.6705532875069827
16,random,rtdetr-l-coco-torch,0.5,1000,484,0.484,0.6494129989108848,0.6161956060146663,0.6774164209843547
16,random,rtdetr-v2-l-coco-torch,0.5,1000,299,0.299,0.6262243617574511,0.5951801442916771,0.6585041087692833
16,random,rtdetr-v2-m-coco-torch,0.5,1000,290,0.29,0.6166974259349198,0.5818643347228352,0.6495578546553359
16,random,rtdetr-v2-s-coco-torch,0.5,1000,380,0.38,0.6184443972835314,0.58712503335069,0.6495480116795544
16,random,rtdetr-x-coco-torch,0.5,1000,482,0.482,0.6449338342491869,0.6134974573690217,0.6740935196791583
16,random,yolo11l-coco-torch,0.5,1000,326,0.326,0.6143502758005498,0.5814017551382401,0.6505158906318655
16,random,yolo11m-coco-torch,0.5,1000,345,0.345,0.6066356897886934,0.5739998921970131,0.6383747046603707
16,random,yolo11n-coco-torch,0.5,1000,568,0.568,0.65793720657277,0.6268840085830839,0.6868869859458808
16,random,yolo11s-coco-torch,0.5,1000,417,0.417,0.623486802324864,0.59138187995783,0.6539581567155781
16,random,yolo11x-coco-torch,0.5,1000,275,0.275,0.6157166144200626,0.5816159321010014,0.6520162124874092
16,random,yolov10l-coco-torch,0.5,1000,331,0.331,0.6156029425710918,0.583080179600474,0.647564372685445
16,random,yolov10m-coco-torch,0.5,1000,340,0.34,0.6070031194295901,0.5738200145466271,0.6386905648984796
16,random,yolov10n-coco-torch,0.5,1000,598,0.598,0.6539127106940216,0.6222313556069603,0.6847301657267668
16,random,yolov10s-coco-torch,0.5,1000,393,0.393,0.6280250344790003,0.5971352052756155,0.6595017331456505
16,random,yolov10x-coco-torch,0.5,1000,309,0.309,0.6055690594279666,0.5730481930904517,0.6385892933743702
16,random,yolov5l-coco-torch,0.5,1000,335,0.335,0.6179620693524857,0.5864819746540846,0.6509223262532472
16,random,yolov5m-coco-torch,0.5,1000,397,0.397,0.6159776265607312,0.5826649893593209,0.6485198632833157
16,random,yolov5n-coco-torch,0.5,1000,642,0.642,0.6162111244539584,0.5833576512806135,0.6489992243951674
16,random,yolov5s-coco-torch,0.5,1000,440,0.44,0.6175202922077923,0.586850513615555,0.6488137282073015
16,random,yolov5x-coco-torch,0.5,1000,303,0.303,0.602367051626253,0.5682443249757193,0.636983587506813
16,random,yolov8l-coco-torch,0.5,1000,298,0.298,0.6069332109600566,0.5729286503330091,0.6424944711593645
16,random,yolov8m-coco-torch,0.5,1000,352,0.352,0.6114969135802469,0.5793970772457133,0.6445190896490904
16,random,yolov8n-coco-torch,0.5,1000,597,0.597,0.6425406602907008,0.6103994699727283,0.6727074281150268
16,random,yolov8s-coco-torch,0.5,1000,433,0.433,0.6207583366936715,0.5896024181875082,0.6520500229928791
